film,year,movies.budget,movies.revenue,movies.popularity,status
Mirror Mirror,2012,85000000,183018522,22.98,nominated
Snow White and the Huntsman,2012,170000000,396600000,63.01,nominated
Moonrise Kingdom,2012,16000000,68263166,9.55,nominated
WarGames,1983,12000000,79567667,9.86,nominated
Beasts of the Southern Wild,2012,1800000,21107746,7.24,nominated
Terms of Endearment,1983,8000000,108423749,9.09,winner
Skyfall,2012,200000000,1108569499,68.38,nominated
Argo,2012,44500000,232325503,15.32,winner
Lincoln,2012,65000000,275293450,14.2,nominated
Zero Dark Thirty,2012,40000000,132820716,22.16,nominated
Les Misérables,2012,61000000,441809770,13.93,nominated
Amour,2012,8900000,29844753,9.5,nominated
Silver Linings Playbook,2012,21000000,236412453,38.71,nominated
Flight,2012,31000000,161772375,21.18,nominated
The Natural,1984,28000000,47951979,10.66,nominated
Splash,1984,8000000,69821334,12.77,nominated
2010,1984,28000000,40400657,11.01,nominated
Ran,1985,11500005,11859533,12.01,nominated
Kiss of the Spider Woman,1985,11,17005229,6.47,nominated
Top Gun,1986,15000000,356830601,891.61,nominated
The Great Gatsby,2013,105000000,351040419,31.1,winner
Blue Velvet,1986,6000000,8618766,14.52,nominated
Before Midnight,2013,3000000,11176469,12.39,nominated
Blue Jasmine,2013,18000000,99206215,18.66,nominated
20 Feet from Stardom,2013,1000000,5892466,8.7,winner
Prisoners,2013,46000000,122126687,43.29,nominated
Empire of the Sun,1987,35000000,66700000,13.82,nominated
Nebraska,2013,12000000,27682872,6.93,nominated
Dallas Buyers Club,2013,5000000,55736588,14.76,nominated
RoboCop,1987,13000000,53424681,27.45,nominated
Radio Days,1987,16000000,0,7.89,nominated
Philomena,2013,12000000,100129872,7.31,nominated
American Hustle,2013,40000000,251171807,23.16,nominated
The Wolf of Wall Street,2013,100000000,392000000,202.33,nominated
Maurice,1987,0,2438304,8.44,nominated
12 Years a Slave,2013,20000000,187000000,23.05,nominated
Rain Man,1988,25000000,354825435,17.86,winner
The Accidental Tourist,1988,0,32632093,7.6,nominated
Bull Durham,1988,7000000,50888000,12.57,nominated
Big,1988,18000000,151927281,17.68,nominated
The Invisible Woman,2013,0,3986888,9.94,nominated
The Last Temptation of Christ,1988,7000000,8373585,18.9,nominated
Field of Dreams,1989,15000000,84431625,13.18,nominated
Dead Poets Society,1989,16400000,235860116,31.68,nominated
Do the Right Thing,1989,6500000,37295445,8.51,nominated
Boyhood,2014,4000000,48137666,12.18,nominated
Maleficent,2014,180000000,758539785,119.07,nominated
The Hunt for Red October,1990,30000000,200512643,23.41,nominated
Nightcrawler,2014,8500000,50300000,56.69,nominated
Birdman or (The Unexpected Virtue of Ignorance),2014,18000000,103215094,27.57,winner
Selma,2014,20000000,66787908,7.08,nominated
Into the Woods,2014,50000000,212902372,19.91,nominated
The Theory of Everything,2014,15000000,123726688,29.72,nominated
Barton Fink,1991,9000000,6153939,10.05,nominated
Hook,1991,70000000,300855000,26.43,nominated
Scent of a Woman,1992,31000000,134095253,17.52,nominated
A Few Good Men,1992,40000000,243240178,28.24,nominated
The Crying Game,1992,3705538,62548947,9.77,nominated
Basic Instinct,1992,49000000,352927224,26.54,nominated
The Lover,1992,0,5013090,19.84,nominated
The Remains of the Day,1993,11500000,23237911,10.44,nominated
In the Name of the Father,1993,13000000,65796862,13.71,nominated
The Fugitive,1993,44000000,368875760,20.59,nominated
Cinderella,2015,95000000,543514353,80.45,nominated
Mad Max: Fury Road,2015,150000000,378858340,102.32,winner
Inside Out,2015,175000000,857611174,101.08,nominated
Sleepless in Seattle,1993,21000000,227799884,12.31,nominated
